PROYECTO,EMPLAZAMIENTO,ID PROPIETARIO,ZONA DE CONCURRENCIA,LONGITUD,LATITUD,CODIGO MUNICIPIO 
TSI-068100-2024-0084,34_34049_000053,06_00004,Badajoz,-5.87432694_ ,39.07491278_ ,6156
TSI-068100-2024-0084,06_06004_000307,06_00008,Badajoz,-6.31687969_ ,38.70429589_ ,6004
TSI-068100-2024-0084,06_06060_000313,06_00009,Badajoz,-6.13515652_ ,38.88998432_ ,6060
TSI-068100-2024-0085,07_07016_000238,88470,"Balears, Illes",2.83107486_ ,39.66303295_ ,7016
TSI-068100-2024-0085,07_07056_001079,87852,"Balears, Illes",2.77642651_ ,39.65641792_ ,7056
TSI-068100-2024-0085,07_07064_000277,88401,"Balears, Illes",4.27617087_ ,39.88322816_ ,7064
TSI-068100-2024-0085,07_07016_000237,SPA-IB00686,"Balears, Illes",2.81588020_ ,39.67216397_ ,7016
TSI-068100-2024-0085,07_07008_000078,SPA-IB00668,"Balears, Illes",2.84196638_ ,39.69333996_ ,7008
TSI-068100-2024-0085,07_07056_001077,SPA-IB00171,"Balears, Illes",2.77662988_ ,39.64254854_ ,7056
TSI-068100-2024-0085,07_07020_000298,83557,"Balears, Illes",2.57432358_ ,39.66933215_ ,7020
TSI-068100-2024-0085,07_07023_000319,SPA-IB00407,"Balears, Illes",3.98750600_ ,39.94847862_ ,7023
TSI-068100-2024-0085,07_07039_000506,87563,"Balears, Illes",3.12556581_ ,39.78925498_ ,7039
TSI-068100-2024-0085,07_07020_000295,3569,"Balears, Illes",2.58632432_ ,39.65351290_ ,7020
TSI-068100-2024-0085,07_07051_001014,SPA-IB00026,"Balears, Illes",3.38297298_ ,39.59605958_ ,7051
TSI-068100-2024-0085,07_07002_000005,ES070042,"Balears, Illes",4.07581761_ ,39.90528975_ ,7002
TSI-068100-2024-0085,07_07023_000321,83560,"Balears, Illes",4.00866667_ ,39.98457996_ ,7023
TSI-068100-2024-0085,07_07006_000060,1140,"Balears, Illes",3.34871343_ ,39.69717585_ ,7006
TSI-068100-2024-0085,07_07004_000038,SPA-IB00240,"Balears, Illes",2.89669641_ ,39.55726505_ ,7004
TSI-068100-2024-0085,07_07006_000064,88138,"Balears, Illes",3.34877455_ ,39.69240072_ ,7006
TSI-068100-2024-0085,07_07028_000357,SPA-IB00121,"Balears, Illes",2.97560804_ ,39.61807894_ ,7028
TSI-068100-2024-0085,07_07059_001106,19820,"Balears, Illes",3.05374533_ ,39.33966650_ ,7059
TSI-068100-2024-0085,07_07004_000040,39657,"Balears, Illes",2.84801666_ ,39.57263072_ ,7004
TSI-068100-2024-0085,07_07037_000279,62916,"Balears, Illes",4.18599595_ ,40.01454950_ ,7037
TSI-068100-2024-0085,07_07047_001102,17574,"Balears, Illes",2.88689996_ ,39.64185623_ ,7047
